wavelength,2500K,3000K,3500K,4000K
5.04,0.00002752,0.0000108,0.00000183,0.000000774
5.11,0.00002709,0.0000106,0.00000179,0.000000755
5.19,0.00003339,0.000013,0.0000022,0.000000929
5.26,0.00003297,0.0000129,0.00000217,0.00000092
5.34,0.00003335,0.0000131,0.0000022,0.00000093
5.41,0.0000356,0.0000139,0.00000234,0.00000099
5.49,0.00003871,0.0000151,0.00000255,0.00000108
5.56,0.0000399,0.0000156,0.00000263,0.00000111
5.64,0.00004501,0.0000173,0.00000292,0.00000124
5.71,0.00004577,0.0000179,0.00000301,0.00000127
5.79,0.00004935,0.0000193,0.00000325,0.00000137
5.86,0.00005383,0.000021,0.00000354,0.0000015
5.94,0.00005085,0.0000199,0.00000335,0.00000142
6.01,0.00005071,0.0000198,0.00000334,0.00000141
6.09,0.00005259,0.0000206,0.00000347,0.00000147
6.16,0.00004827,0.0000188,0.00000317,0.00000134
6.24,0.00004214,0.0000165,0.00000278,0.00000118
6.31,0.00003864,0.0000151,0.00000255,0.00000108
6.39,0.00005052,0.0000198,0.00000333,0.00000141
6.46,0.00004842,0.0000207,0.00000349,0.00000147
6.54,0.00005271,0.0000205,0.00000345,0.00000146
6.61,0.00005346,0.0000209,0.00000352,0.00000149
6.69,0.00005019,0.0000196,0.0000033,0.00000139
6.76,0.00004022,0.000016,0.00000269,0.00000114
6.84,0.00004404,0.0000172,0.00000289,0.00000122
6.91,0.0000413,0.000018,0.00000302,0.00000128
6.99,0.00003933,0.0000154,0.00000259,0.00000109
7.06,0.00003989,0.0000156,0.00000262,0.00000111
7.14,0.00003453,0.0000135,0.00000227,0.000000959
7.21,0.00003717,0.0000145,0.00000244,0.00000103
7.29,0.00003561,0.0000147,0.00000248,0.00000105
7.36,0.00004139,0.0000162,0.00000272,0.00000115
7.44,0.0000468,0.0000182,0.00000307,0.0000013
7.51,0.00004467,0.0000175,0.00000294,0.00000124
7.59,0.00003969,0.0000154,0.0000026,0.0000011
7.66,0.00005317,0.0000226,0.00000381,0.00000161
7.74,0.00005613,0.0000219,0.00000368,0.00000156
7.81,0.00005102,0.0000199,0.00000336,0.00000142
7.89,0.00005345,0.0000209,0.00000352,0.00000149
7.96,0.00004595,0.000018,0.00000302,0.00000128
8.04,0.00003653,0.0000143,0.0000024,0.00000102
8.11,0.00002902,0.0000113,0.00000191,0.000000808
8.19,0.00002739,0.0000107,0.0000018,0.000000759
8.26,0.00002405,0.0000094,0.00000159,0.00000067
8.34,0.00002059,0.00000804,0.00000136,0.000000573
8.41,0.00002511,0.00000981,0.00000165,0.000000699
8.49,0.00003028,0.0000118,0.00000199,0.000000843
8.56,0.0000307,0.000012,0.00000202,0.000000855
8.64,0.00003189,0.0000124,0.00000209,0.000000884
8.71,0.00003462,0.0000135,0.00000227,0.000000962
8.79,0.0000362,0.0000139,0.00000235,0.000000992
8.86,0.0000362,0.0000142,0.00000239,0.00000101
8.94,0.00003702,0.0000145,0.00000244,0.00000103
9.01,0.00003431,0.0000134,0.00000226,0.000000955
9.09,0.00003544,0.0000139,0.00000233,0.000000987
9.16,0.00003603,0.0000141,0.00000237,0.000001
9.24,0.00004207,0.0000164,0.00000276,0.00000117
9.31,0.00004354,0.000017,0.00000287,0.00000121
9.39,0.00008103,0.0000271,0.00000457,0.00000193
9.46,0.00010121,0.0000408,0.00000687,0.0000029
9.54,0.00010394,0.0000416,0.00000701,0.00000296
9.61,0.00010109,0.0000395,0.00000665,0.00000281
9.69,0.00010755,0.000042,0.00000707,0.00000299
9.76,0.00010436,0.0000408,0.00000686,0.0000029
9.84,0.00010155,0.0000397,0.00000668,0.00000282
9.91,0.00009427,0.0000368,0.00000619,0.00000261
9.99,0.00008255,0.0000322,0.00000542,0.00000229
10.1,0.00005799,0.000019,0.00000321,0.00000136
10.25,0.00002828,0.0000118,0.00000199,0.000000839
10.4,0.00001331,0.00000518,0.000000871,0.000000369
10.55,0.00001477,0.00000572,0.000000965,0.000000409
10.7,0.00001141,0.00000496,0.000000837,0.000000356
10.85,0.00001103,0.00000383,0.000000646,0.000000275
11,0.00000656,0.0000018,0.000000304,0.000000129
11.15,0.00000219,0.000000884,0.000000148,6.27E-08
11.3,0.00001019,0.00000393,0.000000662,0.00000028
11.45,0.00000471,0.00000213,0.000000358,0.000000152
11.6,0.00000461,0.00000155,0.000000262,0.000000111
11.75,0.00001141,0.00000513,0.000000864,0.000000366
11.9,0.00000708,0.00000246,0.000000414,0.000000175
12.05,0.00000569,0.00000409,0.00000069,0.000000292
12.2,0.00000823,0.00000323,0.000000544,0.000000231
12.35,0.00001482,0.00000424,0.000000714,0.000000302
12.5,0.00001927,0.00000752,0.00000127,0.000000536
12.65,0.00002783,0.00000822,0.00000139,0.000000586
12.8,0.00002326,0.00000861,0.00000145,0.000000613
12.95,0.00002915,0.0000103,0.00000173,0.00000073
13.1,0.00003371,0.0000137,0.00000231,0.000000976
13.25,0.00004602,0.000018,0.00000302,0.00000128
13.4,0.00005416,0.0000212,0.00000356,0.00000151
13.55,0.00006978,0.0000273,0.00000459,0.00000194
13.7,0.00006836,0.0000267,0.0000045,0.0000019
13.85,0.00007855,0.000027,0.00000454,0.00000192
14,0.00007922,0.0000339,0.00000571,0.00000241
14.15,0.00008167,0.0000337,0.00000567,0.00000239
14.3,0.00009149,0.0000349,0.00000587,0.00000248
14.45,0.00010092,0.0000367,0.00000618,0.00000261
14.6,0.00010742,0.000043,0.00000724,0.00000306
14.75,0.00011142,0.0000438,0.00000738,0.00000312
14.9,0.00012009,0.0000512,0.00000862,0.00000364
15.05,0.00012997,0.0000462,0.00000778,0.00000329
15.2,0.0001118,0.0000433,0.00000729,0.00000308
15.35,0.00011507,0.0000434,0.0000073,0.00000308
15.5,0.0001085,0.0000414,0.00000697,0.00000294
