wavelength,2500K,3000K,3500K,4000K
5.00000 ,1.52E-06,3.67E-07,4.23E-08,1.33E-08
5.05000 ,1.45E-06,3.54E-07,4.11E-08,1.30E-08
5.10050 ,1.21E-06,3.14E-07,3.83E-08,1.26E-08
5.15151 ,9.82E-07,2.68E-07,3.41E-08,1.15E-08
5.20302 ,8.95E-07,2.47E-07,3.18E-08,1.08E-08
5.25505 ,9.14E-07,2.62E-07,3.46E-08,1.20E-08
5.30760 ,8.28E-07,2.39E-07,3.18E-08,1.11E-08
5.36068 ,8.09E-07,2.36E-07,3.16E-08,1.10E-08
5.41428 ,8.18E-07,2.40E-07,3.21E-08,1.13E-08
5.46843 ,6.07E-07,1.78E-07,2.40E-08,8.41E-09
5.52311 ,9.46E-07,2.78E-07,3.74E-08,1.31E-08
5.57834 ,5.96E-07,1.76E-07,2.36E-08,8.30E-09
5.63413 ,5.77E-07,1.70E-07,2.29E-08,8.06E-09
5.69047 ,6.66E-07,1.97E-07,2.65E-08,9.33E-09
5.74737 ,4.81E-07,1.42E-07,1.92E-08,6.75E-09
5.80484 ,6.81E-07,2.02E-07,2.72E-08,9.58E-09
5.86289 ,5.69E-07,1.69E-07,2.28E-08,8.02E-09
5.92152 ,5.43E-07,1.61E-07,2.18E-08,7.67E-09
5.98074 ,6.44E-07,1.91E-07,2.59E-08,9.12E-09
6.04054 ,7.32E-07,2.18E-07,2.95E-08,1.04E-08
6.10095 ,7.14E-07,2.13E-07,2.88E-08,1.02E-08
6.16196 ,9.07E-07,2.70E-07,3.66E-08,1.29E-08
6.22358 ,1.29E-06,3.86E-07,5.23E-08,1.85E-08
6.28582 ,2.14E-06,6.38E-07,8.66E-08,3.06E-08
6.34867 ,1.44E-06,4.29E-07,5.83E-08,2.06E-08
6.41216 ,1.03E-06,3.07E-07,4.17E-08,1.48E-08
6.47628 ,1.21E-06,3.61E-07,4.91E-08,1.74E-08
6.54104 ,1.39E-06,4.16E-07,5.66E-08,2.00E-08
6.60645 ,1.50E-06,4.49E-07,6.12E-08,2.17E-08
6.67252 ,1.53E-06,4.60E-07,6.27E-08,2.22E-08
6.73924 ,2.46E-06,7.38E-07,1.01E-07,3.57E-08
6.80664 ,2.70E-06,8.12E-07,1.11E-07,3.93E-08
6.87470 ,2.34E-06,7.06E-07,9.63E-08,3.42E-08
6.94345 ,4.22E-06,1.27E-06,1.74E-07,6.17E-08
7.01288 ,3.50E-06,1.06E-06,1.44E-07,5.13E-08
7.08301 ,4.56E-06,1.37E-06,1.88E-07,6.68E-08
7.15384 ,4.55E-06,1.37E-06,1.88E-07,6.69E-08
7.22538 ,6.15E-06,1.86E-06,2.54E-07,9.04E-08
7.29764 ,5.88E-06,1.78E-06,2.44E-07,8.67E-08
7.37061 ,7.33E-06,2.22E-06,3.04E-07,1.08E-07
7.44432 ,8.88E-06,2.69E-06,3.68E-07,1.31E-07
7.51876 ,9.52E-06,2.88E-06,3.94E-07,1.40E-07
7.59395 ,1.02E-05,3.10E-06,4.26E-07,1.52E-07
7.66989 ,9.19E-06,2.78E-06,3.82E-07,1.36E-07
7.74659 ,1.18E-05,3.55E-06,4.85E-07,1.73E-07
7.82405 ,1.36E-05,4.10E-06,5.61E-07,1.99E-07
7.90229 ,1.31E-05,3.97E-06,5.45E-07,1.94E-07
7.98132 ,1.69E-05,5.07E-06,6.92E-07,2.46E-07
8.06113 ,1.92E-05,5.73E-06,7.79E-07,2.76E-07
8.14174 ,2.08E-05,6.15E-06,8.32E-07,2.94E-07
8.22316 ,2.28E-05,6.80E-06,9.25E-07,3.28E-07
8.30539 ,2.33E-05,6.93E-06,9.39E-07,3.32E-07
8.38844 ,2.45E-05,7.28E-06,9.87E-07,3.49E-07
8.47233 ,2.52E-05,7.50E-06,1.02E-06,3.61E-07
8.55705 ,2.60E-05,7.77E-06,1.06E-06,3.76E-07
8.64262 ,2.67E-05,7.93E-06,1.07E-06,3.80E-07
8.72905 ,2.79E-05,8.33E-06,1.13E-06,4.02E-07
8.81634 ,2.88E-05,8.62E-06,1.17E-06,4.17E-07
8.90450 ,2.93E-05,8.75E-06,1.19E-06,4.22E-07
8.99355 ,3.05E-05,9.13E-06,1.24E-06,4.41E-07
9.08348 ,3.19E-05,9.56E-06,1.30E-06,4.64E-07
9.17432 ,3.24E-05,9.70E-06,1.32E-06,4.70E-07
9.26606 ,3.38E-05,1.01E-05,1.39E-06,4.93E-07
9.35872 ,3.37E-05,1.02E-05,1.39E-06,4.95E-07
9.45231 ,2.40E-05,7.31E-06,1.01E-06,3.60E-07
9.54683 ,2.32E-05,7.08E-06,9.77E-07,3.50E-07
9.64230 ,2.51E-05,7.66E-06,1.06E-06,3.78E-07
9.73872 ,2.68E-05,8.18E-06,1.13E-06,4.05E-07
9.83611 ,2.98E-05,9.11E-06,1.26E-06,4.50E-07
9.93447 ,3.64E-05,1.11E-05,1.53E-06,5.46E-07
10.03382 ,4.15E-05,1.26E-05,1.73E-06,6.20E-07
10.13416 ,4.52E-05,1.37E-05,1.88E-06,6.73E-07
10.23550 ,4.82E-05,1.47E-05,2.02E-06,7.22E-07
10.33785 ,5.02E-05,1.53E-05,2.10E-06,7.52E-07
10.44123 ,5.21E-05,1.59E-05,2.19E-06,7.83E-07
10.54564 ,5.40E-05,1.65E-05,2.27E-06,8.14E-07
10.65110 ,5.53E-05,1.69E-05,2.33E-06,8.34E-07
10.75761 ,5.75E-05,1.75E-05,2.42E-06,8.67E-07
10.86519 ,6.03E-05,1.85E-05,2.55E-06,9.15E-07
10.97384 ,6.19E-05,1.89E-05,2.62E-06,9.39E-07
11.08358 ,6.46E-05,1.98E-05,2.74E-06,9.83E-07
11.19441 ,6.56E-05,2.01E-05,2.78E-06,9.97E-07
11.30636 ,7.04E-05,2.16E-05,3.00E-06,1.08E-06
11.41942 ,7.08E-05,2.17E-05,3.01E-06,1.08E-06
11.53361 ,7.41E-05,2.28E-05,3.16E-06,1.14E-06
11.64895 ,7.50E-05,2.31E-05,3.20E-06,1.15E-06
11.76544 ,8.33E-05,2.57E-05,3.58E-06,1.29E-06
11.88309 ,8.14E-05,2.51E-05,3.49E-06,1.26E-06
12.00192 ,8.21E-05,2.53E-05,3.52E-06,1.27E-06
12.12194 ,8.72E-05,2.69E-05,3.75E-06,1.35E-06
12.24316 ,8.73E-05,2.70E-05,3.75E-06,1.35E-06
12.36560 ,9.45E-05,2.93E-05,4.08E-06,1.47E-06
12.48925 ,9.90E-05,3.07E-05,4.29E-06,1.55E-06
12.61414 ,1.04E-04,3.24E-05,4.53E-06,1.64E-06
12.74028 ,1.01E-04,3.14E-05,4.38E-06,1.58E-06
12.86769 ,1.08E-04,3.37E-05,4.71E-06,1.70E-06
12.99636 ,1.10E-04,3.41E-05,4.76E-06,1.72E-06
13.12633 ,1.11E-04,3.45E-05,4.83E-06,1.74E-06
13.25759 ,1.17E-04,3.64E-05,5.11E-06,1.85E-06
13.39017 ,1.14E-04,3.56E-05,4.99E-06,1.81E-06
13.52407 ,9.91E-05,3.10E-05,4.36E-06,1.58E-06
13.65931 ,1.01E-04,3.16E-05,4.44E-06,1.61E-06
13.79590 ,1.09E-04,3.41E-05,4.79E-06,1.74E-06
13.93386 ,8.10E-05,2.54E-05,3.57E-06,1.30E-06
14.07320 ,8.50E-05,2.67E-05,3.75E-06,1.36E-06
14.21393 ,7.19E-05,2.26E-05,3.18E-06,1.15E-06
14.35607 ,6.59E-05,2.07E-05,2.91E-06,1.06E-06
14.49963 ,6.69E-05,2.10E-05,2.96E-06,1.07E-06
14.64463 ,7.25E-05,2.28E-05,3.21E-06,1.16E-06
14.79108 ,7.34E-05,2.31E-05,3.25E-06,1.18E-06
14.93899 ,8.93E-05,2.81E-05,3.96E-06,1.44E-06
15.08838 ,8.07E-05,2.54E-05,3.58E-06,1.30E-06
15.23926 ,8.08E-05,2.54E-05,3.58E-06,1.30E-06
15.39165 ,8.65E-05,2.72E-05,3.84E-06,1.39E-06
15.54557 ,8.44E-05,2.66E-05,3.75E-06,1.36E-06
15.70102 ,8.66E-05,2.73E-05,3.85E-06,1.40E-06
15.85803 ,9.46E-05,2.98E-05,4.21E-06,1.53E-06
16.01662 ,1.17E-04,3.70E-05,5.22E-06,1.90E-06
16.17678 ,1.30E-04,4.09E-05,5.77E-06,2.10E-06
16.33855 ,1.49E-04,4.70E-05,6.64E-06,2.41E-06
16.50193 ,1.63E-04,5.14E-05,7.25E-06,2.64E-06
16.66695 ,1.75E-04,5.53E-05,7.81E-06,2.84E-06
16.83362 ,1.71E-04,5.40E-05,7.63E-06,2.78E-06
17.00196 ,1.90E-04,6.00E-05,8.47E-06,3.08E-06
17.17198 ,2.09E-04,6.61E-05,9.34E-06,3.40E-06
17.34370 ,2.20E-04,6.96E-05,9.84E-06,3.58E-06
17.51714 ,2.27E-04,7.19E-05,1.02E-05,3.70E-06
17.69231 ,2.28E-04,7.23E-05,1.02E-05,3.72E-06
17.86923 ,2.49E-04,7.88E-05,1.11E-05,4.05E-06
18.04792 ,2.46E-04,7.80E-05,1.10E-05,4.01E-06
18.22840 ,2.50E-04,7.93E-05,1.12E-05,4.09E-06
18.41069 ,2.37E-04,7.51E-05,1.06E-05,3.87E-06
18.59479 ,2.78E-04,8.81E-05,1.25E-05,4.54E-06
18.78074 ,2.67E-04,8.47E-05,1.20E-05,4.37E-06
18.96855 ,2.73E-04,8.64E-05,1.22E-05,4.46E-06
19.15823 ,2.70E-04,8.57E-05,1.21E-05,4.43E-06
19.34982 ,2.29E-04,7.28E-05,1.03E-05,3.76E-06
19.54331 ,2.87E-04,9.10E-05,1.29E-05,4.70E-06
19.73875 ,2.62E-04,8.32E-05,1.18E-05,4.30E-06
19.93613 ,2.58E-04,8.19E-05,1.16E-05,4.23E-06
