wavelength,2500K,3000K,3500K,4000K
5.04,2.75E-05,1.08E-05,1.78E-06,7.37E-07
5.12,2.62E-05,1.03E-05,1.78E-06,7.37E-07
5.2,3.57E-05,1.40E-05,2.38E-06,1.04E-06
5.28,3.25E-05,1.28E-05,2.18E-06,9.37E-07
5.36,3.43E-05,1.35E-05,2.28E-06,9.37E-07
5.44,3.74E-05,1.47E-05,2.48E-06,1.04E-06
5.52,3.59E-05,1.41E-05,2.38E-06,1.04E-06
5.6,4.27E-05,1.67E-05,2.78E-06,1.24E-06
5.68,4.34E-05,1.70E-05,2.88E-06,1.24E-06
5.76,5.33E-05,2.09E-05,3.48E-06,1.44E-06
5.84,5.08E-05,1.99E-05,3.38E-06,1.44E-06
5.92,5.47E-05,2.14E-05,3.58E-06,0.000001537
6,5.07E-05,1.99E-05,3.38E-06,1.44E-06
6.08,5.52E-05,2.16E-05,3.68E-06,1.54E-06
6.16,4.83E-05,1.89E-05,3.18E-06,1.34E-06
6.24,4.22E-05,1.65E-05,2.78E-06,1.14E-06
6.32,4.25E-05,1.67E-05,2.78E-06,1.24E-06
6.4,5.56E-05,2.18E-05,3.68E-06,1.54E-06
6.48,5.58E-05,2.19E-05,3.68E-06,1.54E-06
6.56,5.56E-05,2.18E-05,3.68E-06,1.54E-06
6.64,5.16E-05,2.02E-05,3.38E-06,1.44E-06
6.72,4.50E-05,1.76E-05,2.98E-06,1.24E-06
6.8,4.24E-05,1.66E-05,2.78E-06,1.14E-06
6.88,4.75E-05,1.86E-05,3.08E-06,1.34E-06
6.96,3.80E-05,1.49E-05,2.48E-06,1.04E-06
7.04,4.15E-05,1.63E-05,2.78E-06,1.14E-06
7.12,3.24E-05,1.27E-05,2.08E-06,9.37E-07
7.2,4.01E-05,1.57E-05,2.68E-06,1.14E-06
7.28,3.57E-05,1.40E-05,2.38E-06,1.04E-06
7.36,4.14E-05,1.62E-05,2.68E-06,1.14E-06
7.44,4.68E-05,1.83E-05,3.08E-06,1.34E-06
7.52,4.47E-05,0.00001746,2.98E-06,1.24E-06
7.6,3.95E-05,1.55E-05,2.58E-06,1.14E-06
7.68,6.08E-05,2.38E-05,3.98E-06,1.74E-06
7.76,5.31E-05,2.08E-05,3.48E-06,1.44E-06
7.84,5.24E-05,2.05E-05,3.48E-06,1.44E-06
7.92,5.21E-05,2.04E-05,3.38E-06,1.44E-06
8,4.00E-05,1.57E-05,2.68E-06,1.14E-06
8.08,3.48E-05,1.37E-05,2.28E-06,9.37E-07
8.16,2.54E-05,9.96E-06,1.68E-06,7.37E-07
8.24,2.55E-05,9.96E-06,1.68E-06,7.37E-07
8.32,2.01E-05,7.86E-06,1.28E-06,5.37E-07
8.4,2.51E-05,9.86E-06,1.68E-06,7.37E-07
8.48,2.96E-05,1.16E-05,1.98E-06,8.37E-07
8.56,3.07E-05,1.20E-05,1.98E-06,8.37E-07
8.64,3.19E-05,1.25E-05,2.08E-06,9.37E-07
8.72,3.51E-05,1.38E-05,2.28E-06,9.37E-07
8.8,3.61E-05,1.42E-05,2.38E-06,1.04E-06
8.88,3.57E-05,1.40E-05,2.38E-06,1.04E-06
8.96,3.48E-05,1.36E-05,2.28E-06,9.37E-07
9.04,3.45E-05,1.35E-05,2.28E-06,9.37E-07
9.12,3.55E-05,1.39E-05,2.38E-06,1.04E-06
9.2,3.98E-05,1.56E-05,2.58E-06,1.14E-06
9.28,4.22E-05,1.66E-05,2.78E-06,1.14E-06
9.36,6.00E-05,2.35E-05,3.98E-06,1.64E-06
9.44,9.71E-05,3.80E-05,6.38E-06,2.74E-06
9.52,1.07E-04,4.17E-05,6.98E-06,2.94E-06
